heard,building,noise,in_vehicle,asleep,no_windows,age,distance
1,0,0,0,0,0,59,901.2835171952715
1,0,0,0,0,0,29,972.0062595573587
1,0,0,0,0,0,32,872.3409237372916
1,0,0,0,0,0,36,257.804449158289
1,0,0,0,0,0,55,529.6867912002735
0,1,0,0,0,1,62,4023.1303330982328
1,1,0,0,0,0,74,244.29345471355734
1,0,0,0,0,0,24,2157.2505799627506
1,0,0,0,0,0,66,727.5126535783137
1,1,0,0,0,0,53,1407.236378520225
1,1,0,0,0,0,39,1197.2158242649841
1,0,1,0,0,0,27,1524.4925108393031
1,0,1,0,0,0,55,393.46439100088713
1,0,0,0,0,0,77,135.55476250959327
1,1,0,0,0,0,57,313.2370116553036
1,0,0,0,0,0,52,352.48646069340145
0,1,0,0,0,0,79,366.47120307428605
1,1,0,0,0,0,44,419.02879303541494
1,0,0,0,0,0,19,578.3175579359331
1,0,0,0,0,0,40,1132.469782912175
1,0,0,0,0,0,39,8152.152468822341
1,0,1,0,0,0,26,1151.3560209178336
1,1,0,0,0,0,41,1213.833571842974
0,1,0,0,0,0,27,583.8491752722327
1,0,0,0,0,0,51,710.2994897060139
1,0,0,0,0,0,77,893.330131293793
1,1,0,0,0,0,73,86.43362857423848
1,0,0,0,0,0,81,180.04306917687526
1,1,0,0,0,0,63,334.61108008114246
1,1,0,0,0,0,44,318.5978420670263
1,0,0,0,0,0,72,975.1342013010741
1,0,0,0,0,0,55,625.2407364152104
1,0,0,0,0,0,78,1835.920916696768
1,0,0,0,0,0,58,488.9181132797865
1,0,0,0,0,0,41,206.51644508290894
1,0,0,0,0,0,71,387.626924184598
1,0,0,0,0,0,39,492.53268862905367
0,0,0,1,0,0,63,1361.6938049440528
1,1,1,0,0,0,46,379.68834086548407
1,1,0,0,0,0,22,283.03422386375127
1,0,1,0,0,0,72,732.1835806400246
1,0,0,0,0,0,66,31.952597775089597
1,0,0,0,0,0,82,219.0009106915379
0,0,1,0,0,0,48,4277.217390270056
1,0,0,0,0,0,51,3112.4626971707403
1,0,0,0,0,0,20,618.4381835758145
1,1,0,0,0,0,50,70.94686029030379
1,0,0,0,0,0,71,479.8848543801786
1,0,0,0,0,0,42,145.88439688965997
1,0,0,0,0,0,68,654.7011630449668
1,0,0,0,0,0,32,20886.73396988267
0,0,0,0,0,0,64,29746.36378028585
1,1,1,0,0,0,57,476.31034437693484
1,1,0,0,0,0,30,247.10540078918984
1,1,0,0,0,0,28,112.07779279988763
0,1,0,0,1,0,54,746.8153706415067
0,0,0,0,0,0,46,34939.666096585875
0,0,0,0,0,0,39,9140.580358067313
1,0,0,0,0,0,78,1263.6639325447902
0,0,1,1,0,0,38,2539.8419136682833
1,1,0,0,0,0,78,554.7328198732292
0,1,0,0,1,1,20,789.2318240711957
1,0,0,0,0,0,44,3001.576484831241
1,0,0,0,0,0,29,1791.2412081095615
1,0,0,0,0,0,19,488.77249294352765
1,0,0,0,0,0,33,328.74927732531273
1,0,0,0,0,0,27,628.1090509610611
1,0,0,1,0,0,69,1272.0560352669936
0,0,1,0,0,0,82,5221.273791612612
1,0,0,0,0,0,39,207.60870590816745
1,0,0,0,0,0,58,692.5408162292729
1,0,0,0,0,0,75,659.1697718876133
1,0,0,0,0,0,75,1084.6584834561745
1,0,0,0,0,0,59,51.396613741241815
1,1,0,0,0,0,46,334.8648244940862
1,1,0,0,0,0,63,356.49223171168285
1,0,0,1,0,0,61,1535.8137726707419
1,0,0,0,0,0,53,342.4737904449756
1,1,1,0,0,0,48,157.20439835873643
0,0,0,1,0,0,39,21905.237284965468
1,0,0,0,0,0,37,295.0243417157795
1,0,0,0,0,0,53,390.8818908617161
1,1,0,0,0,0,52,1293.015677102289
0,0,1,1,0,0,40,22561.809846198514
1,0,0,0,0,0,82,139.56329827128693
1,0,0,0,0,0,28,1392.421716518549
0,0,1,0,0,0,63,42541.00825171609
1,0,1,0,0,0,23,707.3205493471171
0,1,0,0,0,0,61,138.19864959295464
1,0,0,0,0,0,73,998.2773796049312
1,0,0,0,0,0,65,571.5678541974329
1,0,1,0,0,0,66,291.5424183502563
1,0,1,0,0,0,72,376.32948484265273
1,0,0,0,0,0,39,352.19955784731735
1,0,0,0,0,0,38,655.8525861269212
1,1,0,0,0,0,77,184.4858638203371
1,0,1,0,0,0,62,209.54060009746323
1,0,0,0,0,0,65,945.2494200614482
1,0,0,0,0,0,54,637.5943276540024
1,0,0,0,0,0,28,718.8148194172368
0,0,0,0,0,0,82,31699.479423024346
0,0,0,0,0,0,65,1562.5060272481533
0,0,1,1,0,0,70,2271.633847414905
1,1,0,0,0,0,35,856.0806132184226
1,0,0,0,0,0,81,1028.9152672660991
0,0,0,0,0,0,72,5356.01017882045
0,0,0,0,0,0,65,34417.901735623855
0,0,0,1,0,0,86,2790.110582532792
1,0,0,0,0,0,23,62.090057282662166
1,0,0,0,0,0,20,800.297385303172
1,1,0,0,0,0,43,527.3600351095637
1,0,0,0,0,0,66,187.3692896969269
0,0,1,0,0,0,85,328.72067698867573
1,0,0,0,0,0,66,396.7396222238075
1,0,0,0,0,0,23,2353.7723515545044
0,0,1,0,0,0,80,380.12365830532644
1,0,0,0,0,0,46,1598.6647929810938
1,0,0,0,0,0,82,366.8336186857457
1,0,1,0,0,0,62,683.3279044871947
1,0,0,0,0,0,24,817.5035342486457
0,0,1,0,0,0,75,554.3592078851057
0,1,0,0,0,0,82,1553.7702624302751
0,0,0,0,0,0,40,413.86467834773686
0,0,1,1,0,0,73,21200.179649793896
1,0,0,0,0,0,61,606.0849905874708
1,0,0,0,0,0,21,418.2478978568415
1,0,0,0,0,0,54,496.83888348046077
1,0,1,1,0,0,29,32.441378913058216
0,0,0,0,0,0,83,32482.48661758469
1,0,0,0,0,0,34,856.175520353835
1,1,0,0,0,0,61,439.06784913170907
1,0,0,0,0,0,29,563.4180319439942
0,0,1,1,0,0,25,26558.188147317516
0,0,0,0,0,0,32,29725.06018607393
1,0,0,0,0,0,51,520.09336475302
1,1,0,0,0,0,54,429.72521092782057
1,0,0,0,0,0,44,554.3682297361669
0,0,0,0,0,0,86,36245.36844888833
1,0,1,0,0,0,47,1421.108107378812
1,0,0,1,0,0,75,714.7680648955569
1,0,1,0,0,0,47,441.97580985151376
0,0,0,0,0,0,54,1704.1886580115522
1,0,0,0,0,0,40,236.3568825990509
1,0,0,0,0,0,18,345.67210400163503
1,0,0,0,0,0,27,96.88449907323657
0,0,0,0,0,0,29,369.43235833864395
1,1,0,0,0,0,62,159.7320893251923
1,0,0,0,0,0,64,749.4895917751877
0,1,0,0,0,0,57,600.4918661637811
0,1,0,0,0,1,64,1180.6393366905938
1,0,0,0,0,0,76,1740.0756264256952
1,1,0,0,0,0,43,217.67221889666072
1,0,0,0,0,0,48,4812.4137623989845
1,1,0,0,0,0,71,1995.66193851346
1,0,0,0,0,0,57,323.36396898004705
1,0,0,0,0,0,32,2387.1096486723486
1,0,0,0,0,0,69,682.747031905002
1,1,0,0,0,0,65,1031.598776397619
1,1,1,0,0,0,35,499.2057034363699
1,0,0,0,0,0,64,341.2818570011879
1,0,0,0,0,0,41,439.526047565644
0,0,0,1,0,0,44,550.9453578749614
1,0,0,0,0,0,49,541.5512397218511
1,1,0,0,0,0,39,917.8007833747064
1,0,0,1,0,0,28,3065.0049666863956
1,0,0,0,0,0,22,1959.0261945086274
